Billing Date,Variant,Economic Index,Industry Growth Rate (%),Seasonality Factor
18-08-2022 00:00,XXX11,87.45,8.45,High
19-08-2022 00:00,XXX11,145.07,14.54,Medium
20-08-2022 00:00,XXX17,123.2,-2.96,Medium
21-08-2022 00:00,XXXV1,109.87,-4.83,Low
22-08-2022 00:00,XXX11,65.6,3.67,Low
22-08-2022 00:00,XXX11,65.6,-3.15,Low
22-08-2022 00:00,XXX11,55.81,9.97,Medium
22-08-2022 00:00,XXX11,136.62,13.29,Medium
23-08-2022 00:00,XXXV1,110.11,3.68,High
23-08-2022 00:00,XXXV1,120.81,0.17,Medium
23-08-2022 00:00,XXXV2,52.06,3.69,High
23-08-2022 00:00,XXXV2,146.99,9.47,Low
23-08-2022 00:00,XXXV2,133.24,-4.82,Low
23-08-2022 00:00,XXXV2,71.23,6.79,Low
23-08-2022 00:00,XXXV2,68.18,7.27,High
23-08-2022 00:00,XXXV2,68.34,7.75,Medium
23-08-2022 00:00,XXXV2,80.42,-0.16,Low
23-08-2022 00:00,XXXV1,102.48,9.28,Medium
23-08-2022 00:00,XXXV1,93.19,-3.17,Medium
23-08-2022 00:00,XXXV2,79.12,-1.01,Low
28-08-2022 00:00,XXX12,111.19,12.55,High
28-08-2022 00:00,XXXV4,63.95,9.77,Medium
28-08-2022 00:00,XXXV1,79.21,-4.73,Low
28-08-2022 00:00,XXXV4,86.64,-0.03,Medium
28-08-2022 00:00,XXXV1,95.61,-0.71,Medium
29-08-2022 00:00,XXXV1,128.52,0.42,Medium
29-08-2022 00:00,XXXV1,69.97,-0.05,Medium
29-08-2022 00:00,XXXV1,101.42,-3.75,Medium
29-08-2022 00:00,XXX11,109.24,4.18,High
29-08-2022 00:00,XXX11,54.65,9.65,High
29-08-2022 00:00,XXXV1,110.75,7.13,Low
29-08-2022 00:00,XXXV1,67.05,8.46,High
29-08-2022 00:00,XXXV1,56.51,-3.38,High
29-08-2022 00:00,XXXV2,144.89,14.03,High
29-08-2022 00:00,XXXV2,146.56,11.77,Medium
29-08-2022 00:00,XXXV2,130.84,11.1,Medium
29-08-2022 00:00,XXX17,80.46,11.46,Low
30-08-2022 00:00,XXXV4,59.77,13.65,Low
30-08-2022 00:00,XXXV5,118.42,5.89,Low
30-08-2022 00:00,XXXV3,94.02,-0.99,Medium
30-08-2022 00:00,XXXV2,62.2,7.34,High
30-08-2022 00:00,XXXV5,99.52,9.86,High
30-08-2022 00:00,XXXV5,53.44,9.76,Medium
30-08-2022 00:00,XXX12,140.93,5.43,Low
30-08-2022 00:00,XXX12,75.88,-3.63,Low
30-08-2022 00:00,XXX12,116.25,2.42,Low
30-08-2022 00:00,XXX12,81.17,13.42,Medium
30-08-2022 00:00,XXXV2,102.01,6.69,Low
30-08-2022 00:00,XXXV3,104.67,5.77,Low
30-08-2022 00:00,XXX13,68.49,0.38,Medium
30-08-2022 00:00,XXX13,146.96,2.37,High
30-08-2022 00:00,XXXV4,127.51,12.91,Medium
30-08-2022 00:00,XXX11,143.95,8.33,Medium
30-08-2022 00:00,XXXV1,139.48,10.75,Medium
30-08-2022 00:00,XXXV1,109.79,4.09,Medium
30-08-2022 00:00,XXXV1,142.19,7.6,High
30-08-2022 00:00,XXX11,58.85,-0.03,Low
30-08-2022 00:00,XXX13,69.6,9.11,Medium
30-08-2022 00:00,XXXV3,54.52,3.55,High
30-08-2022 00:00,XXX13,82.53,3.85,Low
30-08-2022 00:00,XXXV2,88.87,7.99,Low
30-08-2022 00:00,XXXV2,77.13,13.73,Low
30-08-2022 00:00,XXX12,132.87,-3.72,Medium
30-08-2022 00:00,XXXV2,85.68,11.49,Medium
01-09-2022 00:00,XXX12,78.09,0.85,Low
02-09-2022 00:00,XXX12,104.27,3.88,Low
04-09-2022 00:00,XXX18,64.09,-4.56,Low
06-09-2022 00:00,XXXV2,130.22,1.02,Low
09-09-2022 00:00,XXX11,57.46,5.05,Low
14-09-2022 00:00,XXX11,148.69,-3.88,Low
17-09-2022 00:00,XXX11,127.22,4.82,High
17-09-2022 00:00,XXX11,69.87,13.54,Low
19-09-2022 00:00,XXXV4,50.55,-2.89,Medium
20-09-2022 00:00,XXX11,131.55,10.29,Medium
21-09-2022 00:00,XXXV1,120.69,3.19,Medium
21-09-2022 00:00,XXX11,122.9,8.1,Low
25-09-2022 00:00,XXX11,127.13,0.2,Medium
25-09-2022 00:00,XXX11,57.4,-1.81,High
25-09-2022 00:00,XXX18,85.85,-1.79,Low
25-09-2022 00:00,XXXV2,61.59,-3.59,Medium
25-09-2022 00:00,XXXV2,136.31,-1.29,High
25-09-2022 00:00,XXXV2,112.33,8.28,High
27-09-2022 00:00,XXXV2,83.09,12.63,Medium
28-09-2022 00:00,XXXV1,56.36,11.28,High
28-09-2022 00:00,XXXV1,81.1,8.7,Medium
28-09-2022 00:00,XXXV2,82.52,-2.79,High
29-09-2022 00:00,XXXV9,122.96,0.78,Low
30-09-2022 00:00,XXXV2,113.76,1.2,Low
30-09-2022 00:00,XXXV2,138.72,0,Low
30-09-2022 00:00,XXXV2,97.22,5.3,Low
30-09-2022 00:00,XXXV2,61.96,5.71,Low
30-09-2022 00:00,XXXV2,121.32,2.14,Medium
30-09-2022 00:00,XXX11,126.08,2.08,Low
30-09-2022 00:00,XXXV2,106.13,11.57,Low
30-09-2022 00:00,XXX17,127.1,10.79,Low
30-09-2022 00:00,XXX11,99.38,1.16,Low
30-09-2022 00:00,XXX11,102.27,13.28,High
30-09-2022 00:00,XXX11,92.75,14.06,Low
30-09-2022 00:00,XXX18,52.54,1.53,Low
30-09-2022 00:00,XXX17,60.79,2.09,Medium
30-09-2022 00:00,XXXV4,53.14,5.11,High
30-09-2022 00:00,XXXV1,113.64,13.82,Medium
30-09-2022 00:00,XXXV2,81.44,12.53,Low
30-09-2022 00:00,XXX11,100.86,-2.95,Medium
30-09-2022 00:00,XXX11,140.76,2.85,Medium
30-09-2022 00:00,XXXV2,74.93,6.07,Low
30-09-2022 00:00,XXXV2,91.04,5.06,High
30-09-2022 00:00,XXXV3,125.56,-1.12,High
30-09-2022 00:00,XXX11,72.88,12.18,Medium
30-09-2022 00:00,XXXV2,57.7,8.54,Low
30-09-2022 00:00,XXXV2,78.98,11.76,Medium
30-09-2022 00:00,XXXV1,66.12,12.18,Medium
30-09-2022 00:00,XXX15,142.97,9.97,Medium
30-09-2022 00:00,XXXV2,130.81,3.78,Low
30-09-2022 00:00,XXXV2,113.34,7.21,Low
30-09-2022 00:00,XXXV2,137.15,-1.79,High
30-09-2022 00:00,XXX11,130.37,8.47,Low
30-09-2022 00:00,XXX11,68.66,-1.41,Medium
30-09-2022 00:00,XXXV2,139.26,8.88,Medium
30-09-2022 00:00,XXXV2,103.93,-0.41,High
30-09-2022 00:00,XXXV1,130.74,-2.65,Low
30-09-2022 00:00,XXXV4,139.61,-1.69,Medium
30-09-2022 00:00,XXXV1,81.8,-4.96,High
30-09-2022 00:00,XXXV4,61.01,9.37,High
30-09-2022 00:00,XXXV2,72.79,9.65,Medium
30-09-2022 00:00,XXX15,92.71,5.3,Medium
30-09-2022 00:00,XXXV1,131.8,-1.77,Low
30-09-2022 00:00,XXX17,136.07,-3.33,High
05-10-2022 00:00,XXXV2,50.7,-4.62,Medium
08-10-2022 00:00,XXXV2,101.07,-1.69,High
08-10-2022 00:00,XXXV2,91.74,12.82,Low
09-10-2022 00:00,XXXV3,72.21,-0.17,Medium
11-10-2022 00:00,XXXV1,61.99,2.09,Low
12-10-2022 00:00,XXXV2,83.76,-2.89,High
14-10-2022 00:00,XXXV1,144.29,-0.55,Low
15-10-2022 00:00,XXXV2,82.32,5.38,Low
16-10-2022 00:00,XXXV2,101.88,7.16,High
17-10-2022 00:00,XXXV2,120.3,-0.09,Low
17-10-2022 00:00,XXXV2,86.36,-3.85,High
17-10-2022 00:00,XXXV2,147.18,2.82,Medium
18-10-2022 00:00,XXXV4,146.24,-0.32,High
18-10-2022 00:00,XXX11,75.18,-0.61,High
18-10-2022 00:00,XXX15,99.72,14.2,Medium
19-10-2022 00:00,XXX15,80.09,7.33,High
21-10-2022 00:00,XXXV4,78.48,6.14,Medium
